Tarih,Vaka_Sayisi
1995-01-02,3
1995-01-09,4
1995-01-16,7
1995-01-23,11
1995-01-30,22
1995-02-06,19
1995-02-13,27
1995-02-20,25
1995-02-27,29
1995-03-06,29
1995-03-13,28
1995-03-20,22
1995-03-27,18
1995-04-03,3
1995-10-16,0
1995-10-23,0
1995-10-30,4
1995-11-06,10
1995-11-13,14
1995-11-20,6
1995-11-27,27
1995-12-04,49
1995-12-11,36
1995-12-18,18
1995-12-25,0
1996-01-01,27
1996-01-08,26
1996-01-15,25
1996-01-22,22
1996-01-29,12
1996-02-05,0
1996-02-12,6
1996-02-19,3
1996-02-26,17
1996-03-04,11
1996-03-11,5
1996-03-18,6
1996-03-25,8
1996-04-01,3
1996-04-08,0
1996-04-15,1
1996-04-22,1
1996-04-29,0
1996-05-06,0
1996-05-13,1
1996-05-20,0
1996-05-27,0
1996-06-03,1
1996-06-10,0
1996-06-17,4
1996-06-24,6
1996-07-01,0
1996-07-08,1
1996-07-15,0
1996-07-22,0
1996-07-29,0
1996-08-05,0
1996-08-12,0
1996-08-19,0
1996-08-26,0
1996-09-02,3
1996-09-09,1
1996-09-16,1
1996-09-23,6
1996-09-30,6
1996-10-07,5
1996-10-14,10
1996-10-21,15
1996-10-28,19
1996-11-04,23
1996-11-11,18
1996-11-18,36
1996-11-25,91
1996-12-02,222
1996-12-09,491
1996-12-16,470
1996-12-23,306
1996-12-30,1202
1997-01-06,1422
1997-01-13,1409
1997-01-20,1204
1997-01-27,888
1997-02-03,801
1997-02-10,491
1997-02-17,650
1997-02-24,559
1997-03-03,385
1997-03-10,381
1997-03-17,344
1997-03-24,176
1997-03-31,76
1997-04-07,46
1997-04-14,15
1997-04-21,21
1997-04-28,21
1997-05-05,42
1997-05-12,25
1997-05-19,34
1997-05-26,33
1997-06-02,41
1997-06-09,38
1997-06-16,56
1997-06-23,89
1997-06-30,69
1997-07-07,71
1997-07-14,63
1997-07-21,48
1997-07-28,49
1997-08-04,71
1997-08-11,46
1997-08-18,37
1997-08-25,31
1997-09-01,28
1997-09-08,15
1997-09-15,18
1997-09-22,12
1997-09-29,20
1997-10-06,11
1997-10-13,26
1997-10-20,19
1997-10-27,17
1997-11-03,4
1997-11-10,10
1997-11-17,5
1997-11-24,18
1997-12-01,12
1997-12-08,26
1997-12-15,77
1997-12-22,52
1997-12-29,107
1998-01-05,127
1998-01-12,175
1998-01-19,260
1998-01-26,311
1998-02-02,925
1998-02-09,1100
1998-02-16,1273
1998-02-23,1184
1998-03-02,815
1998-03-09,544
1998-03-16,440
1998-03-23,414
1998-03-30,446
1998-04-06,172
1998-04-13,152
1998-04-20,107
1998-04-27,40
1998-05-04,87
1998-05-11,88
1998-05-18,104
1998-05-25,80
1998-06-01,67
1998-06-08,39
1998-06-15,27
1998-06-22,26
1998-06-29,24
1998-07-06,42
1998-07-13,48
1998-07-20,50
1998-07-27,33
